"Code_point_Libelle";"ID.interne.passage";"Date";"CHLOROA";"SALI";"TEMP";"TURB";"NH4";"PO4";"SIOH";"OXYGENE";"NO3+NO2";"TURB-FNU";"Shannon";"Simpson";"BergerParker";"Pielou";"Rspe";"Bacillariophyceae";"Dinophyceae";"Cryptophyceae";"Haptophyta";"Ciliophora";"DinoBac";"N_noeuds";"N_liens";"D_liens";"C_tance";"Avg_p_length";"Adhes";"Mod";"meanN_liens";"Assort";"Diss";"Trans";"meanN_voisins";"Nat_connect";"N_clust";"cluster"
"22B - Toulon gde rade";60083586;2010-02-15;0,1;36,2;12,8;NA;0,01;0,03;1,23;NA;1,32;0,347;2,16887096100196;0,851742870076958;0,24468085106383;0,821835485217806;14;6200;300;2000;NA;NA;0,0483870967741935;14;51;3,64285714285714;0,56043956043956;0,102026537831704;4;0,115148019992311;7,28571428571429;-0,141016949152541;0,84503642669057;0,677685950413223;3,2156862745098;0,107162106661526;3;1
"22B - Toulon gde rade";60084862;2010-03-04;0,83;NA;12,7;NA;NA;NA;NA;NA;NA;0,32;0,923070689992221;0,35460961655687;0,799457994579946;0,359878719362225;13;34800;300;1300;NA;NA;0,00862068965517241;13;44;3,38461538461538;0,564102564102564;0,220388078541203;4;0,175361570247934;6,76923076923077;0,0460030165912513;0,779769796261941;0,672794117647059;3,29545454545455;0,129270030643877;2;1
"22B - Toulon gde rade";60086081;2010-03-15;1,01;36,2;13,2;NA;0,005;0,03;1,63;NA;0,84;0,331;2,16299105455873;0,841839949590422;0,260869565217391;0,819607452360298;14;5200;600;500;NA;NA;0,115384615384615;14;50;3,57142857142857;0,549450549450549;0,123121560230583;2;0,0686;7,14285714285714;-0,0732761948884278;0,853071488779381;0,689075630252101;3,34;0,100985440488578;4;1
"22B - Toulon gde rade";60089140;2010-03-29;0,6;35,7;13,4;NA;NA;NA;NA;NA;NA;0,228;1,30383653756693;0,639581409664512;0,508771929824561;0,59340158080137;9;5400;100;5800;NA;NA;0,0185185185185185;9;23;2,55555555555556;0,638888888888889;0,131507773111416;3;0,101134215500945;5,11111111111111;-0,262325581395351;0,818334714701737;0,669902912621359;2,91304347826087;0,17256624082413;2;1
"22B - Toulon gde rade";60089162;2010-04-13;1,02;36,6;13,9;NA;NA;NA;NA;NA;NA;0,489;0,472283123316729;0,269299757697897;0,841065056272303;0,214945312458364;9;728200;300;NA;NA;NA;0,000411974732216424;9;27;3;0,75;0,160844890763336;3;-0,0192043895747599;6;-0,166666666666662;0,78045940144775;0,791666666666667;2,25925925925926;0,192073632301711;2;1
"22B - Toulon gde rade";60089891;2010-04-26;0,33;36,5;16,5;NA;NA;NA;NA;NA;NA;0,22;1,18142638532026;0,660924515235457;0,458881578947368;0,734061485809961;5;44500;NA;16300;NA;NA;NA;5;7;1,4;0,7;0,401826363059345;1;-0,010204081632653;2,8;-0,555555555555554;0,607219220914127;0,8;1,85714285714286;0,386967155736391;2;1
"22B - Toulon gde rade";60092787;2010-05-10;0,34;32,3;16,1;NA;NA;NA;NA;NA;NA;0,719;1,53777146135316;0,747093185855269;0,383198231392778;0,618844760822044;12;103600;600;31500;NA;NA;0,00579150579150579;12;48;4;0,727272727272727;0,191751456525194;1;-0,0384114583333334;8;-0,2020905923345;0,737635486870393;0,935567010309278;2,45833333333333;0,174768759994209;2;1
"22B - Toulon gde rade";60100370;2010-05-25;0,4;35,3;17,9;NA;NA;NA;NA;NA;NA;0,241;2,06376975250863;0,844887644286592;0,223140495867769;0,782010200896052;14;13600;10300;300;NA;NA;0,757352941176471;14;54;3,85714285714286;0,593406593406593;0,199891685378645;3;0,0759602194787381;7,71428571428571;0,193921949260326;0,771145874249419;0,860240963855422;3,01851851851852;0,132915498653054;3;1
"22B - Toulon gde rade";60100889;2010-06-08;0,18;36,7;19,7;NA;NA;NA;NA;8,6;NA;0,2;1,24113568689262;0,586954472617589;0,558252427184466;0,470295083386296;14;13000;1100;6500;NA;NA;0,0846153846153846;14;65;4,64285714285714;0,714285714285714;0,137911906709943;1;-0,00201183431952667;9,28571428571429;0,0616567728008695;0,793841033216038;0,883527454242928;2,8;0,132979744996538;3;1
"22B - Toulon gde rade";60102290;2010-06-21;0,19;35;19,6;NA;NA;NA;NA;6,9;NA;0,186;1,41097725952942;0,631463527239151;0,565789473684211;0,567819020344204;12;21000;600;1200;NA;NA;0,0285714285714286;12;40;3,33333333333333;0,606060606060606;0,18783400053113;1;0,0546875;6,66666666666667;0,226519337016575;0,76385309390034;0,852272727272727;3,925;0,152537047119588;2;1
"22B - Toulon gde rade";60140845;2010-07-20;0,11;37;22,95;NA;NA;NA;NA;7,55;NA;0,485;1,57906543299279;0,695274973041859;0,5;0,635462677492334;12;6100;4000;10100;NA;NA;0,655737704918033;12;52;4,33333333333333;0,787878787878788;0,133717605336574;5;0,076923076923077;8,66666666666667;-0,232583323306463;0,805474112260621;0,852028639618138;2,11538461538462;0,147038936976845;2;1
