"Code_point_Libelle";"Date";"N_noeuds";"N_liens";"D_liens";"C_tance";"Avg_p_length";"Adhes";"Mod";"meanN_liens";"Assort";"Diss";"Trans";"meanN_voisins";"Nat_connect";"N_clust";"cluster"
"Anse de Carteau 2";2010-03-01;18;97;5,38888888888889;0,633986928104575;0,105633954580445;4;0,104952704857052;10,7777777777778;-0,0758105171664492;0,869289544244623;0,724340175953079;2,83505154639175;0,0796152868872752;2;1
"Anse de Carteau 2";2010-03-15;10;28;2,8;0,622222222222222;0,130601327776435;4;0,0950255102040817;5,6;-0,0269687162891045;0,857637590524556;0,688888888888889;2,78571428571429;0,141914661899191;3;1
"Anse de Carteau 2";2010-03-29;17;83;4,88235294117647;0,610294117647059;0,14839622343872;4;0,0324430251124982;9,76470588235294;0,207282782980504;0,803465019033474;0,782608695652174;3,10843373493976;0,10733846572262;3;1
"Anse de Carteau 2";2010-04-12;18;107;5,94444444444444;0,699346405228758;0,0946743163334708;6;0,107432963577605;11,8888888888889;-0,144834894373415;0,855640146139326;0,781876503608661;2,5607476635514;0,0902683343695881;2;1
"Anse de Carteau 2";2010-04-27;20;126;6,3;0,663157894736842;0,121350586801881;4;0,0373834719072814;12,6;0,039370916880663;0,828943458154865;0,821208384710234;2,82539682539683;0,0918138902901326;3;1
"Anse de Carteau 2";2010-05-10;18;78;4,33333333333333;0,509803921568627;0,121119254868848;1;0,160502958579882;8,66666666666667;-0,0669651184480515;0,853233095617428;0,654545454545455;3,83333333333333;0,0810717103875826;3;1
"Anse de Carteau 2";2010-05-25;15;72;4,8;0,685714285714286;0,163234234848603;3;0,0288387345679013;9,6;0,313694339793929;0,799174623945;0,865300146412884;2,69444444444444;0,119751689486975;3;1
"Anse de Carteau 2";2010-06-07;15;78;5,2;0,742857142857143;0,1313035352418;2;0,00189020381328081;10,4;-0,180933937766827;0,782146843403468;0,887116564417178;2,69230769230769;0,139480324648106;2;1
"Anse de Carteau 2";2010-06-21;9;20;2,22222222222222;0,555555555555556;0,179073670269725;1;0,0762499999999999;4,44444444444444;0,04191616766467;0,86177661935062;0,811764705882353;3,1;0,156063346964519;3;1
"Anse de Carteau 2";2010-07-05;23;158;6,8695652173913;0,624505928853755;0,11313858295841;3;0,0646931581477327;13,7391304347826;0,158915809888156;0,832841589025176;0,809946714031972;3,18987341772152;0,0814693732397123;4;1
"Anse de Carteau 2";2010-07-19;21;131;6,23809523809524;0,623809523809524;0,138209716243678;3;0,0694306858574675;12,4761904761905;0,1421129482028;0,815526722327566;0,824561403508772;3,22137404580153;0,0911338017791734;3;1
"Anse de Carteau 2";2010-08-02;20;138;6,9;0,726315789473684;0,124797530776472;3;0,00525099768956103;13,8;0,17289929154336;0,817606542636726;0,892307692307692;2,57971014492754;0,103279473564584;3;1
