"Dim 1";"Dim 2";"Dim 3";"Dim 4";"Dim 5";"cluster";"season";"Month";"Year";"Code_point_Libelle";"Date"
0,827066049023613;-0,117530752793427;-0,325773654220853;0,76646221221153;0,0612415615769002;"2-Manche orientale - Mer du Nord";"Hiver";1;2012;"At so";2012-01-10
0,993892206205048;-0,155125352222498;-0,807196552911523;0,547767100216688;0,0949184653788659;"2-Manche orientale - Mer du Nord";"Hiver";2;2012;"At so";2012-02-06
0,524943537159621;-0,0496719913177477;-0,47279589025977;2,19154289508284;0,137376398176934;"2-Manche orientale - Mer du Nord";"Printemps";3;2012;"At so";2012-03-09
-0,999760100984543;0,0801285775319043;-0,0437180721447521;-0,0361357451333295;0,0080611101362917;"2-Manche orientale - Mer du Nord";"Printemps";3;2012;"At so";2012-03-23
-0,980770049583963;0,0783896454123096;-0,0273143690840359;-0,0620240515116556;0,000862621432168187;"2-Manche orientale - Mer du Nord";"Printemps";4;2012;"At so";2012-04-03
-0,990655190711509;0,0794438136208557;-0,00906045469265376;-0,0489045900015842;0,00297617774872164;"2-Manche orientale - Mer du Nord";"Printemps";5;2012;"At so";2012-05-07
-0,0162587904403992;-0,0249878422205419;0,383178626079452;0,0518537888213694;-0,0507642389472338;"2-Manche orientale - Mer du Nord";"Printemps";5;2012;"At so";2012-05-23
0,758620151304183;-0,128657906552335;2,2444056449039;0,0570648818861753;-0,309630159986269;"2-Manche orientale - Mer du Nord";"Ete";6;2012;"At so";2012-06-07
0,563671713079177;-0,0776062388827303;0,621041589578389;0,277032269040372;-0,0509577344979955;"2-Manche orientale - Mer du Nord";"Ete";6;2012;"At so";2012-06-20
0,704052951281876;-0,0871801246857107;0,755169923092929;0,299598421096115;-0,0505124200559126;"2-Manche orientale - Mer du Nord";"Ete";7;2012;"At so";2012-07-23
0,755175655492579;-0,106930163571913;1,16588553141497;0,261217984971125;-0,107044770878624;"2-Manche orientale - Mer du Nord";"Ete";8;2012;"At so";2012-08-08
0,736355858934251;-0,103424686391752;0,599435533054682;0,470195718229182;0,260107904352067;"2-Manche orientale - Mer du Nord";"Automne";9;2012;"At so";2012-09-06
0,734396761477531;-0,0692574871237317;-0,193203558084119;1,9383131611045;0,117798607173904;"2-Manche orientale - Mer du Nord";"Automne";11;2012;"At so";2012-11-14
0,727415187344492;-0,101769801724902;-0,187426730717563;0,783849389744276;0,081538976379516;"2-Manche orientale - Mer du Nord";"Hiver";1;2013;"At so";2013-01-17
0,744444049588191;-0,105846686019499;-0,516998098164861;1,08480639312989;0,0861674235526889;"2-Manche orientale - Mer du Nord";"Hiver";2;2013;"At so";2013-02-12
0,384911005458443;0,232408256888593;-0,509694152129185;1,37185409058595;0,0708230348452486;"2-Manche orientale - Mer du Nord";"Printemps";3;2013;"At so";2013-03-14
-0,878723753489434;0,0661433083074997;-0,00221258746491274;-0,0316599817637217;0,00282574316119126;"2-Manche orientale - Mer du Nord";"Printemps";4;2013;"At so";2013-04-10
-1,00051327224389;0,0799872072944394;-0,0147453149773143;-0,0473451192545553;0,00187332401684709;"2-Manche orientale - Mer du Nord";"Printemps";4;2013;"At so";2013-04-26
