"Date";"CHLOROA";"year";"CHLOROA_noseason";"Code_point_Libelle";"Outlier";"Changepoint";"Trend";"pvaltrend";"pvalchange";"psens";"slopesens"
2011-01-01;0,34;"2011";1,13286919167537;"les Hébihens";"NON";NA;-0,0159857402427833;0,570048626023925;0,0241234937335084;0,570048626023925;-9,34478769514204e-05
2011-01-11;0,48;"2011";1,27271098437579;"les Hébihens";"NON";NA;-0,0159857402427833;0,570048626023925;0,0241234937335084;0,570048626023925;-9,34478769514204e-05
2011-01-21;0,58;"2011";1,35747634624212;"les Hébihens";"NON";NA;-0,0159857402427833;0,570048626023925;0,0241234937335084;0,570048626023925;-9,34478769514204e-05
2011-01-31;0,77;"2011";1,48678826926716;"les Hébihens";"NON";NA;-0,0159857402427833;0,570048626023925;0,0241234937335084;0,570048626023925;-9,34478769514204e-05
2011-02-10;0,863571428571429;"2011";1,53404493113357;"les Hébihens";"NON";NA;-0,0159857402427833;0,570048626023925;0,0241234937335084;0,570048626023925;-9,34478769514204e-05
2011-02-20;0,642142857142857;"2011";1,30532647117465;"les Hébihens";"NON";NA;-0,0159857402427833;0,570048626023925;0,0241234937335084;0,570048626023925;-9,34478769514204e-05
2011-03-02;0,812857142857143;"2011";1,14492078503128;"les Hébihens";"NON";NA;-0,0159857402427833;0,570048626023925;0,0241234937335084;0,570048626023925;-9,34478769514204e-05
2011-03-12;1,02714285714286;"2011";1,12985529078973;"les Hébihens";"NON";NA;-0,0159857402427833;0,570048626023925;0,0241234937335084;0,570048626023925;-9,34478769514204e-05
2011-03-22;1,54428571428571;"2011";1,43219988714209;"les Hébihens";"NON";NA;-0,0159857402427833;0,570048626023925;0,0241234937335084;0,570048626023925;-9,34478769514204e-05
2011-04-01;1,58285714285714;"2011";0,837373247975854;"les Hébihens";"NON";NA;-0,0159857402427833;0,570048626023925;0,0241234937335084;0,570048626023925;-9,34478769514204e-05
2011-04-11;0,79;"2011";0,0212361757222452;"les Hébihens";"NON";NA;-0,0159857402427833;0,570048626023925;0,0241234937335084;0,570048626023925;-9,34478769514204e-05
2011-04-21;1,15666666666667;"2011";0,218267260844263;"les Hébihens";"NON";NA;-0,0159857402427833;0,570048626023925;0,0241234937335084;0,570048626023925;-9,34478769514204e-05
2011-05-01;2,69;"2011";1,37930474299284;"les Hébihens";"NON";NA;-0,0159857402427833;0,570048626023925;0,0241234937335084;0,570048626023925;-9,34478769514204e-05
2011-05-11;4,36857142857143;"2011";3,22535999416728;"les Hébihens";"OUI";NA;-0,0159857402427833;0,570048626023925;0,0241234937335084;0,570048626023925;-9,34478769514204e-05
2011-05-21;1,96142857142857;"2011";1,0456394483005;"les Hébihens";"NON";NA;-0,0159857402427833;0,570048626023925;0,0241234937335084;0,570048626023925;-9,34478769514204e-05
2011-05-31;1,02857142857143;"2011";-0,449512302335793;"les Hébihens";"NON";NA;-0,0159857402427833;0,570048626023925;0,0241234937335084;0,570048626023925;-9,34478769514204e-05
2011-06-10;0,721428571428571;"2011";-0,12740047091766;"les Hébihens";"NON";NA;-0,0159857402427833;0,570048626023925;0,0241234937335084;0,570048626023925;-9,34478769514204e-05
2011-06-20;0,8;"2011";0,440531213060844;"les Hébihens";"NON";NA;-0,0159857402427833;0,570048626023925;0,0241234937335084;0,570048626023925;-9,34478769514204e-05
2011-06-30;0,638095238095238;"2011";0,586352836807313;"les Hébihens";"NON";NA;-0,0159857402427833;0,570048626023925;0,0241234937335084;0,570048626023925;-9,34478769514204e-05
2011-07-10;0,476190476190476;"2011";0,615638797211555;"les Hébihens";"NON";NA;-0,0159857402427833;0,570048626023925;0,0241234937335084;0,570048626023925;-9,34478769514204e-05
2011-07-20;0,598;"2011";0,899500060097649;"les Hébihens";"NON";NA;-0,0159857402427833;0,570048626023925;0,0241234937335084;0,570048626023925;-9,34478769514204e-05
