"year";"month";"date";"site";"sampling_effort";"sampling_na"
1996;6;"1996-F";"Anse de Carteau 2";0;0
1996;6;"1996-F";"Antifer ponton pétrolier";0;0
1996;6;"1996-F";"Antifer ponton pêche";0;0
1996;6;"1996-F";"Antoine";2;1
1996;6;"1996-F";"Arcachon - Bouée 7";0;0
1996;6;"1996-F";"At so";1;1
1996;6;"1996-F";"Auger";3;1
1996;6;"1996-F";"BIN - Biguglia nord";0;0
1996;6;"1996-F";"BIS - Biguglia sud";0;0
1996;7;"1996-G";"18A - Carry";0;0
1996;7;"1996-G";"21E - ile embiez";0;0
1996;7;"1996-G";"22B - Toulon gde rade";0;0
1996;7;"1996-G";"27B - Frejus est";0;0
1996;7;"1996-G";"Agde";0;0
1996;7;"1996-G";"Anse Moulinet";0;0
1996;7;"1996-G";"Anse de Carteau 2";0;0
1996;7;"1996-G";"Antifer ponton pétrolier";0;0
1996;7;"1996-G";"Antifer ponton pêche";0;0
1996;7;"1996-G";"Antoine";2;1
1996;7;"1996-G";"Arcachon - Bouée 7";0;0
1996;7;"1996-G";"At so";0;0
1996;7;"1996-G";"Auger";1;1
1996;7;"1996-G";"BIN - Biguglia nord";0;0
1996;7;"1996-G";"BIS - Biguglia sud";0;0
1996;8;"1996-H";"18A - Carry";0;0
1996;8;"1996-H";"21E - ile embiez";0;0
1996;8;"1996-H";"22B - Toulon gde rade";0;0
1996;8;"1996-H";"27B - Frejus est";0;0
1996;8;"1996-H";"Agde";0;0
1996;8;"1996-H";"Anse Moulinet";0;0
1996;8;"1996-H";"Anse de Carteau 2";0;0
1996;8;"1996-H";"Antifer ponton pétrolier";0;0
1996;8;"1996-H";"Antifer ponton pêche";0;0
1996;8;"1996-H";"Antoine";2;1
1996;8;"1996-H";"Arcachon - Bouée 7";0;0
1996;8;"1996-H";"At so";0;0
1996;8;"1996-H";"Auger";2;1
1996;8;"1996-H";"BIN - Biguglia nord";0;0
1996;8;"1996-H";"BIS - Biguglia sud";0;0
1996;9;"1996-I";"18A - Carry";0;0
1996;9;"1996-I";"21E - ile embiez";0;0
1996;9;"1996-I";"22B - Toulon gde rade";0;0
1996;9;"1996-I";"27B - Frejus est";0;0
1996;9;"1996-I";"Agde";0;0
1996;9;"1996-I";"Anse Moulinet";1;1
1996;9;"1996-I";"Anse de Carteau 2";0;0
1996;9;"1996-I";"Antifer ponton pétrolier";0;0
1996;9;"1996-I";"Antifer ponton pêche";0;0
1996;9;"1996-I";"Antoine";3;1
1996;9;"1996-I";"Arcachon - Bouée 7";0;0
1996;9;"1996-I";"At so";0;0
1996;9;"1996-I";"Auger";4;1
1996;9;"1996-I";"BIN - Biguglia nord";0;0
1996;9;"1996-I";"BIS - Biguglia sud";0;0
1996;10;"1996-J";"18A - Carry";0;0
1996;10;"1996-J";"21E - ile embiez";0;0
1996;10;"1996-J";"22B - Toulon gde rade";0;0
1996;10;"1996-J";"27B - Frejus est";0;0
1996;10;"1996-J";"Agde";0;0
1996;10;"1996-J";"Anse Moulinet";0;0
1996;10;"1996-J";"Anse de Carteau 2";0;0
1996;10;"1996-J";"Antifer ponton pétrolier";0;0
1996;10;"1996-J";"Antifer ponton pêche";0;0
1996;10;"1996-J";"Antoine";2;1
1996;10;"1996-J";"Arcachon - Bouée 7";0;0
1996;10;"1996-J";"At so";1;1
1996;10;"1996-J";"Auger";2;1
1996;10;"1996-J";"BIN - Biguglia nord";0;0
1996;10;"1996-J";"BIS - Biguglia sud";0;0
1996;11;"1996-K";"18A - Carry";0;0
1996;11;"1996-K";"21E - ile embiez";0;0
1996;11;"1996-K";"22B - Toulon gde rade";0;0
1996;11;"1996-K";"27B - Frejus est";0;0
1996;11;"1996-K";"Agde";0;0
1996;11;"1996-K";"Anse Moulinet";0;0
1996;11;"1996-K";"Anse de Carteau 2";0;0
1996;11;"1996-K";"Antifer ponton pétrolier";0;0
1996;11;"1996-K";"Antifer ponton pêche";0;0
1996;11;"1996-K";"Antoine";2;1
1996;11;"1996-K";"Arcachon - Bouée 7";0;0
1996;11;"1996-K";"At so";0;0
1996;11;"1996-K";"Auger";2;1
1996;11;"1996-K";"BIN - Biguglia nord";0;0
1996;11;"1996-K";"BIS - Biguglia sud";0;0
1996;12;"1996-L";"18A - Carry";0;0
1996;12;"1996-L";"21E - ile embiez";0;0
1996;12;"1996-L";"22B - Toulon gde rade";0;0
1996;12;"1996-L";"27B - Frejus est";0;0
1996;12;"1996-L";"Agde";0;0
1996;12;"1996-L";"Anse Moulinet";0;0
1996;12;"1996-L";"Anse de Carteau 2";0;0
1996;12;"1996-L";"Antifer ponton pétrolier";0;0
1996;12;"1996-L";"Antifer ponton pêche";0;0
1996;12;"1996-L";"Antoine";2;1
1996;12;"1996-L";"Arcachon - Bouée 7";0;0
1996;12;"1996-L";"At so";1;1
1996;12;"1996-L";"Auger";1;1
1996;12;"1996-L";"BIN - Biguglia nord";0;0
1996;12;"1996-L";"BIS - Biguglia sud";0;0
